lng,lat,price_per_square_meter
19.0523116,47.4580298,2072682.93
19.0804115,47.4718561,1803278.69
19.104669,47.4361578,744444.44
19.1360127,47.457467,669491.53
19.0023576,47.4925162,1200000.00
19.080858238245288,47.4943243,895918.37
19.0659396,47.5944226,1208888.89
19.074185433764946,47.488549649999996,1629743.59
19.0427144,47.5865231,1498387.10
19.0799046,47.4720659,1466101.69
19.0461894,47.4728064,1153846.15
19.085362122881754,47.48746085,1624375.00
19.10691866255935,47.52245715,1094230.77
19.0550205,47.4753536,1369047.62
19.048958,47.5168948,3468468.47
19.0912732,47.5447998,1487755.10
19.0864329,47.4870236,1000000.00
19.017888177488455,47.470617950000005,1314912.28
19.0567607,47.5121879,998750.00
19.0674864,47.5190542,1403797.47
19.0427144,47.5865231,1375581.40
19.0864329,47.4870236,1073703.70
19.0897318,47.5420677,1305769.23
19.119356,47.4733146,1072340.43
19.074185433764946,47.488549649999996,1350781.25
19.0897318,47.5420677,1310344.83
19.07546392929593,47.473533849999995,1674313.73
19.085362122881754,47.48746085,1195373.13
19.07546392929593,47.473533849999995,1702291.67
18.9964579,47.5174473,1191666.67
19.06812788376311,47.4894266,1637941.18
19.08841235,47.5447244,1201923.08
19.074185433764946,47.488549649999996,1566086.96
19.074185433764946,47.488549649999996,1346285.71
19.0883086,47.5611034,1116279.07
19.0451407,47.5413944,833125.00
19.0864329,47.4870236,967580.65
19.0726344,47.4908911,593333.33
19.0659396,47.5944226,1340816.33
19.0997228,47.5186841,891304.35
19.0503756,47.4730519,944642.86
19.0852186,47.5018434,1244848.48
19.119152884789578,47.4717082,1070212.77
19.0682215,47.5488307,1561224.49
18.9937925,47.5238472,1159459.46
19.0510498,47.4519786,1938571.43
19.0912732,47.5447998,1248863.64
19.079288934357816,47.47895665,1563043.48
19.074185433764946,47.488549649999996,1741842.11
19.06436505,47.518084825,1365789.47
19.0852186,47.5018434,1134545.45
19.085362122881754,47.48746085,1229545.45
19.0800099,47.4773245,1646341.46
19.064051242788473,47.4879421,1456321.84
19.074185433764946,47.488549649999996,1665434.78
19.0682206,47.5189932,1460769.23
19.0547086,47.5229262,1605492.96
19.0890204,47.5311152,1057377.05
19.0659396,47.5944226,1328571.43
19.0852186,47.5018434,1301315.79
19.0507049,47.5861629,1729850.75
19.0777744,47.5413683,1358333.33
19.0278517,47.5251453,2921875.00
19.119152884789578,47.4717082,1098571.43
